Id,gratuidade,sentenca
00011083520148150631,False,Procedente
00011090520148150151,False,Nenhuma Sentença
00011234520118150231,False,Parcialmente
00011239320138152003,False,Nenhuma Sentença
00011246520118150381,False,Nenhuma Sentença
00011253619948152001,False,Nenhuma Sentença
00011268320148150331,False,Acordo
00011280720158150141,False,Outros
00011339720128150411,False,Improcedente
00011441420188150251,False,Improcedente
00011504220148150451,False,Nenhuma Sentença
00011510920128150221,False,Outros
00011511020148151071,False,Procedente
00011516220148150601,False,Parcialmente
00011550720068150011,False,Nenhuma Sentença
00011561720178150751,False,Extinto
00011570620138150601,False,Parcialmente
00011585920138152001,False,Extinto
00011612220148150241,False,Improcedente
00011664820168150411,False,Procedente
00011678320118150451,False,Nenhuma Sentença
00011725220158150391,False,Outros
00011733820138150381,False,Improcedente
00011761020118150301,False,Extinto
00011765620118150221,False,Extinto
00011766320148150411,False,Extinto
00011779420148150331,False,Improcedente
00011779720088150301,False,Nenhuma Sentença
00011843120158150241,False,Outros
00011885620158150051,False,Improcedente
00011909820118150331,False,Nenhuma Sentença
00011975620138152001,False,Extinto
00012024420148152001,True,Procedente
00012024720118150191,False,Improcedente
00012045520138150091,True,Improcedente
00012067820148150741,False,Acordo
00012069120068150601,False,Nenhuma Sentença
00012075920138150301,False,Improcedente
00012113020118150281,False,Extinto
00012127920148150161,False,Extinto
00012147120128150241,False,Outros
00012177520138150181,False,Improcedente
00012181320118150381,False,Nenhuma Sentença
00012185820098150421,False,Outros
